,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
253,Mohlavyr,0.401,0.317,10,-9.8,0,0.0364,0.847,5.03e-05,0.244,0.378,69.989,audio_features,6E08WMt6sS3Um6Jt1KBXce,spotify:track:6E08WMt6sS3Um6Jt1KBXce,https://api.spotify.com/v1/tracks/6E08WMt6sS3Um6Jt1KBXce,https://api.spotify.com/v1/audio-analysis/6E08WMt6sS3Um6Jt1KBXce,270849,4
254,Lovisa Negga,0.58,0.842,1,-6.656,1,0.0649,0.234,0.0898,0.116,0.64,182.971,audio_features,1NjvX3NUTeaw21XZgXPnGg,spotify:track:1NjvX3NUTeaw21XZgXPnGg,https://api.spotify.com/v1/tracks/1NjvX3NUTeaw21XZgXPnGg,https://api.spotify.com/v1/audio-analysis/1NjvX3NUTeaw21XZgXPnGg,195913,3
255,Sia,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,audio_features,0TDLuuLlV54CkRRUOahJb4,spotify:track:0TDLuuLlV54CkRRUOahJb4,https://api.spotify.com/v1/tracks/0TDLuuLlV54CkRRUOahJb4,https://api.spotify.com/v1/audio-analysis/0TDLuuLlV54CkRRUOahJb4,245040,4
256,Casting Crowns,0.561,0.717,8,-5.72,1,0.0381,0.458,0.0,0.138,0.455,79.993,audio_features,0W7KIc2GSB9suYQAaMZ9rF,spotify:track:0W7KIc2GSB9suYQAaMZ9rF,https://api.spotify.com/v1/tracks/0W7KIc2GSB9suYQAaMZ9rF,https://api.spotify.com/v1/audio-analysis/0W7KIc2GSB9suYQAaMZ9rF,206400,4
257,Disturbed,0.322,0.28,6,-9.367,0,0.0281,0.468,1.1e-06,0.102,0.175,85.794,audio_features,1Cj2vqUwlJVG27gJrun92y,spotify:track:1Cj2vqUwlJVG27gJrun92y,https://api.spotify.com/v1/tracks/1Cj2vqUwlJVG27gJrun92y,https://api.spotify.com/v1/audio-analysis/1Cj2vqUwlJVG27gJrun92y,248467,4
258,The Score,0.485,0.843,1,-3.993,0,0.0467,0.00129,1.01e-05,0.14,0.602,78.001,audio_features,6rrKbzJGGDlSZgLphopS49,spotify:track:6rrKbzJGGDlSZgLphopS49,https://api.spotify.com/v1/tracks/6rrKbzJGGDlSZgLphopS49,https://api.spotify.com/v1/audio-analysis/6rrKbzJGGDlSZgLphopS49,192107,4
259,Jason Mraz,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,audio_features,1EzrEOXmMH3G43AXT1y7pA,spotify:track:1EzrEOXmMH3G43AXT1y7pA,https://api.spotify.com/v1/tracks/1EzrEOXmMH3G43AXT1y7pA,https://api.spotify.com/v1/audio-analysis/1EzrEOXmMH3G43AXT1y7pA,242947,4
260,Lill Lindfors,0.488,0.362,7,-14.211,1,0.0262,0.247,4.1e-06,0.0695,0.31,95.24,audio_features,0S1nTYJUNSKpuJkkG4gucV,spotify:track:0S1nTYJUNSKpuJkkG4gucV,https://api.spotify.com/v1/tracks/0S1nTYJUNSKpuJkkG4gucV,https://api.spotify.com/v1/audio-analysis/0S1nTYJUNSKpuJkkG4gucV,167240,4
261,Red Hot Chili Peppers,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,audio_features,3d9DChrdc6BOeFsbrZ3Is0,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,https://api.spotify.com/v1/tracks/3d9DChrdc6BOeFsbrZ3Is0,https://api.spotify.com/v1/audio-analysis/3d9DChrdc6BOeFsbrZ3Is0,264307,4
262,Adam Olenius,0.466,0.925,6,-5.068,0,0.094,0.00522,1.2e-05,0.379,0.241,155.981,audio_features,6C0YcBEus7biu8cNrHyihG,spotify:track:6C0YcBEus7biu8cNrHyihG,https://api.spotify.com/v1/tracks/6C0YcBEus7biu8cNrHyihG,https://api.spotify.com/v1/audio-analysis/6C0YcBEus7biu8cNrHyihG,203120,4
263,Dermot Kennedy,0.632,0.595,8,-7.644,0,0.0401,0.0689,0.0,0.209,0.435,124.114,audio_features,6ft4hAq6yde8jPZY2i5zLr,spotify:track:6ft4hAq6yde8jPZY2i5zLr,https://api.spotify.com/v1/tracks/6ft4hAq6yde8jPZY2i5zLr,https://api.spotify.com/v1/audio-analysis/6ft4hAq6yde8jPZY2i5zLr,167903,4
264,Joshua Radin,0.545,0.255,8,-14.844,1,0.0311,0.362,1.77e-05,0.0841,0.831,98.088,audio_features,2ZaYFNn1YQuLSVdHhanr4Q,spotify:track:2ZaYFNn1YQuLSVdHhanr4Q,https://api.spotify.com/v1/tracks/2ZaYFNn1YQuLSVdHhanr4Q,https://api.spotify.com/v1/audio-analysis/2ZaYFNn1YQuLSVdHhanr4Q,149013,4
265,Steget,0.433,0.572,10,-7.858,1,0.0425,0.811,0.00127,0.152,0.185,131.07,audio_features,7FEXNZ6yjdT26sKUKlQuYL,spotify:track:7FEXNZ6yjdT26sKUKlQuYL,https://api.spotify.com/v1/tracks/7FEXNZ6yjdT26sKUKlQuYL,https://api.spotify.com/v1/audio-analysis/7FEXNZ6yjdT26sKUKlQuYL,269707,4
266,Kenta,0.456,0.437,2,-7.908,1,0.0884,0.465,0.0,0.0683,0.449,172.758,audio_features,4TBEx9Vq1TyuVoIope0DMK,spotify:track:4TBEx9Vq1TyuVoIope0DMK,https://api.spotify.com/v1/tracks/4TBEx9Vq1TyuVoIope0DMK,https://api.spotify.com/v1/audio-analysis/4TBEx9Vq1TyuVoIope0DMK,218067,3
267,Erika Jayne,0.86,0.711,5,-4.313,0,0.0637,0.0191,0.000161,0.051,0.759,138.026,audio_features,2G8MDb25Oed8ZAx6qUG7Q8,spotify:track:2G8MDb25Oed8ZAx6qUG7Q8,https://api.spotify.com/v1/tracks/2G8MDb25Oed8ZAx6qUG7Q8,https://api.spotify.com/v1/audio-analysis/2G8MDb25Oed8ZAx6qUG7Q8,166479,4
268,LVNDSCAPE,0.714,0.798,5,-5.937,0,0.0668,0.0663,0.00206,0.145,0.698,106.971,audio_features,0K3F6uP4XEmYSAPvpSDx7J,spotify:track:0K3F6uP4XEmYSAPvpSDx7J,https://api.spotify.com/v1/tracks/0K3F6uP4XEmYSAPvpSDx7J,https://api.spotify.com/v1/audio-analysis/0K3F6uP4XEmYSAPvpSDx7J,202803,4
269,Atmosphere,0.125,0.00264,4,-36.917,1,0.0398,0.989,0.863,0.098,0.222,71.883,audio_features,2aFlelxOUFLufLy1vAe3YZ,spotify:track:2aFlelxOUFLufLy1vAe3YZ,https://api.spotify.com/v1/tracks/2aFlelxOUFLufLy1vAe3YZ,https://api.spotify.com/v1/audio-analysis/2aFlelxOUFLufLy1vAe3YZ,97500,3
270,Anouk,0.506,0.903,6,-6.684,1,0.0374,0.00764,6.06e-05,0.144,0.5,98.074,audio_features,1Q0p30HuN1ADMX2CmPzIvO,spotify:track:1Q0p30HuN1ADMX2CmPzIvO,https://api.spotify.com/v1/tracks/1Q0p30HuN1ADMX2CmPzIvO,https://api.spotify.com/v1/audio-analysis/1Q0p30HuN1ADMX2CmPzIvO,205733,4
271,Helen Sjöholm,0.565,0.451,9,-8.302,1,0.0262,0.642,0.0,0.136,0.654,88.454,audio_features,3W64IS8ZqASfmEYTZMgO3M,spotify:track:3W64IS8ZqASfmEYTZMgO3M,https://api.spotify.com/v1/tracks/3W64IS8ZqASfmEYTZMgO3M,https://api.spotify.com/v1/audio-analysis/3W64IS8ZqASfmEYTZMgO3M,215600,4
272,J. Cole,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,audio_features,68Dni7IE4VyPkTOH9mRWHr,spotify:track:68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/tracks/68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/audio-analysis/68Dni7IE4VyPkTOH9mRWHr,292799,4
